;MB012;MB024;MB012_P;MB024_P;Sum_Einkauf;GENDERTYPEID;seg_kgm;score_kgm;alter_kl;ealter;synergie;syn012;old;sum
20763;1;1;1.0;1.0;1481.2;2.0;3.0;66.91;75+       ;75+       ;32;6;1.0;1591933.63
20764;1;1;1.0;1.0;1560.24;1.0;2.0;82.84;75+       ;75+       ;12;1;1.0;1591933.63
20765;1;1;1.0;1.0;8967.64;2.0;1.0;100.0;75+       ;75+       ;38;3;1.0;1591933.63
20766;1;1;1.0;1.0;1276.6;2.0;5.0;41.91;75+       ;75+       ;17;3;1.0;1591933.63
20767;1;1;1.0;1.0;1196.64;1.0;3.0;70.12;75+       ;75+       ;9;0;1.0;1591933.63
20768;1;1;1.0;1.0;3129.4224;2.0;1.0;100.0;75+       ;75+       ;16;1;1.0;1591933.63
20769;1;1;1.0;1.0;1870.7;2.0;1.0;100.0;75+       ;75+       ;18;2;1.0;1591933.63
20770;1;1;1.0;1.0;4833.65;1.0;1.0;100.0;75+       ;75+       ;49;0;1.0;1591933.63
20771;1;1;1.0;1.0;3433.86;1.0;2.0;81.99;75+       ;75+       ;40;0;1.0;1591933.63
20772;1;1;1.0;1.0;1743.19;2.0;5.0;47.88;90-95     ;75+       ;18;1;1.0;1591933.63
20773;1;1;1.0;1.0;7452.468;1.0;1.0;100.0;75+       ;75+       ;17;2;1.0;1591933.63
20774;1;1;1.0;1.0;44234.45;1.0;2.0;87.71;75+       ;75+       ;7;1;1.0;1591933.63
20775;1;1;1.0;1.0;203.65;1.0;3.0;68.2;75+       ;75+       ;5;1;1.0;1591933.63
20776;1;1;1.0;1.0;7583.98;1.0;3.0;68.52;75+       ;75+       ;21;8;1.0;1591933.63
20777;1;1;1.0;1.0;1354.33;2.0;2.0;91.1;75+       ;75+       ;10;0;1.0;1591933.63
20778;1;1;1.0;1.0;2504.98;2.0;3.0;65.91;75+       ;75+       ;46;14;1.0;1591933.63
20779;1;1;1.0;1.0;5574.28;2.0;1.0;100.0;75+       ;75+       ;87;3;1.0;1591933.63
20780;1;1;1.0;1.0;1074.81;2.0;5.0;47.41;75+       ;75+       ;8;0;1.0;1591933.63
20781;1;1;1.0;1.0;4202.56;1.0;3.0;79.27;75+       ;75+       ;28;8;1.0;1591933.63
20782;1;1;1.0;1.0;8388.1;1.0;4.0;50.25;75+       ;75+       ;11;0;1.0;1591933.63
20783;1;1;1.0;1.0;2978.51;2.0;2.0;89.57;75+       ;75+       ;24;7;1.0;1591933.63
20784;1;1;1.0;1.0;2425.64;1.0;2.0;87.96;75+       ;75+       ;5;2;1.0;1591933.63
20785;1;1;1.0;1.0;13225.93;2.0;2.0;94.8;75+       ;75+       ;31;0;1.0;1591933.63
20786;1;1;1.0;1.0;10927.42;2.0;4.0;54.65;75+       ;75+       ;56;0;1.0;1591933.63
20787;1;1;1.0;1.0;1532.11;1.0;4.0;57.03;75+       ;75+       ;6;2;1.0;1591933.63
20788;1;1;1.0;1.0;1837.29;1.0;4.0;51.63;75+       ;75+       ;5;1;1.0;1591933.63
20789;1;1;1.0;1.0;4973.01;2.0;4.0;49.83;75+       ;75+       ;8;1;1.0;1591933.63
20790;1;1;1.0;1.0;1524.73;2.0;4.0;57.26;75+       ;75+       ;13;0;1.0;1591933.63
20791;1;1;1.0;1.0;2770.96;1.0;3.0;78.97;75+       ;75+       ;9;0;1.0;1591933.63
20792;1;1;1.0;1.0;2077.44;1.0;2.0;80.91;75+       ;75+       ;43;5;1.0;1591933.63
20793;1;1;1.0;1.0;47121.44;2.0;3.0;67.58;75+       ;75+       ;100;0;1.0;1591933.63
20794;1;1;1.0;1.0;8688.05;1.0;3.0;64.09;75+       ;75+       ;5;0;1.0;1591933.63
20795;1;1;1.0;1.0;14646.5;2.0;2.0;90.01;75+       ;75+       ;25;3;1.0;1591933.63
20796;1;1;1.0;1.0;467300.89;1.0;3.0;63.6;75+       ;75+       ;35;0;1.0;1591933.63
20797;1;1;1.0;1.0;8150.23;1.0;2.0;80.68;90-95     ;75+       ;8;1;1.0;1591933.63
20798;1;1;1.0;1.0;3601.14;1.0;2.0;84.58;75+       ;75+       ;20;0;1.0;1591933.63
20799;1;1;1.0;1.0;2221.72;1.0;4.0;51.17;75+       ;75+       ;8;0;1.0;1591933.63
20800;1;1;1.0;1.0;28364.42;2.0;3.0;71.4;75+       ;75+       ;8;1;1.0;1591933.63
20801;1;1;1.0;1.0;17773.02;2.0;3.0;77.65;75+       ;75+       ;106;0;1.0;1591933.63
20802;1;1;1.0;1.0;7496.16;2.0;4.0;56.81;90-95     ;75+       ;3;2;1.0;1591933.63
20803;1;1;1.0;1.0;1762.88;1.0;3.0;67.87;75+       ;75+       ;19;0;1.0;1591933.63
20804;1;1;1.0;1.0;5887.09;2.0;2.0;85.22;75+       ;75+       ;42;1;1.0;1591933.63
20805;1;1;1.0;1.0;1309.62;1.0;4.0;51.8;75+       ;75+       ;5;2;1.0;1591933.63
20806;1;1;1.0;1.0;7706.96;1.0;4.0;51.91;75+       ;75+       ;16;0;1.0;1591933.63
20807;1;1;1.0;1.0;310.6;1.0;4.0;59.83;75+       ;75+       ;6;1;1.0;1591933.63
20808;1;1;1.0;1.0;3193.95;1.0;4.0;51.25;75+       ;75+       ;6;2;1.0;1591933.63
20809;1;1;1.0;1.0;8220.95;2.0;4.0;53.37;75+       ;75+       ;16;2;1.0;1591933.63
20810;1;1;1.0;1.0;3428.74;2.0;3.0;68.41;90-95     ;75+       ;8;1;1.0;1591933.63
20811;1;1;1.0;1.0;3840.59;2.0;2.0;92.65;75+       ;75+       ;28;2;1.0;1591933.63
20812;1;1;1.0;1.0;275.29;2.0;5.0;45.98;75+       ;75+       ;10;7;1.0;1591933.63
