;MB012;MB024;MB012_P;MB024_P;Sum_Einkauf;GENDERTYPEID;seg_kgm;score_kgm;alter_kl;ealter;synergie;syn012;old;sum
13602;1;1;1.0;1.0;3983.11;2.0;2.0;95.12999725341797;75+       ;75+       ;45;1;1.0;
13603;1;1;1.0;1.0;1625.73;2.0;2.0;81.08999633789062;90-95     ;75+       ;7;1;1.0;
13604;1;1;1.0;1.0;8001.73;1.0;3.0;73.61000061035156;75+       ;75+       ;9;1;1.0;
13605;1;1;1.0;1.0;2151.87;1.0;3.0;67.72000122070312;75+       ;75+       ;52;7;1.0;
13606;1;1;1.0;1.0;500.0;2.0;4.0;62.33000183105469;75+       ;75+       ;8;0;1.0;
13607;1;1;1.0;1.0;17427.07;1.0;2.0;83.51000213623047;75+       ;75+       ;15;1;1.0;
13608;1;1;1.0;1.0;8033.29;1.0;1.0;100.0;75+       ;75+       ;32;3;1.0;
13609;1;1;1.0;1.0;2305.15;1.0;2.0;81.87000274658203;75+       ;75+       ;18;2;1.0;
13610;1;1;1.0;1.0;2605.32;2.0;1.0;100.0;75+       ;75+       ;1;1;1.0;
13611;1;1;1.0;1.0;7640.81;1.0;4.0;62.470001220703125;75+       ;75+       ;9;2;1.0;
13612;1;1;1.0;1.0;1094.96;1.0;3.0;64.87000274658203;90-95     ;75+       ;5;0;1.0;
13613;1;1;1.0;1.0;4044.31;1.0;5.0;46.97999954223633;75+       ;75+       ;8;0;1.0;
13614;1;1;1.0;1.0;2523.28;2.0;4.0;59.040000915527344;75+       ;75+       ;32;6;1.0;
13615;1;1;1.0;1.0;17073.14;1.0;1.0;100.0;90-95     ;75+       ;97;2;1.0;
13616;1;1;1.0;1.0;4770.37;1.0;4.0;49.849998474121094;75+       ;75+       ;5;0;1.0;
13617;1;1;1.0;1.0;12023.9852;2.0;1.0;100.0;75+       ;75+       ;17;2;1.0;
13618;1;1;1.0;1.0;4543.07;2.0;4.0;50.779998779296875;75+       ;75+       ;21;3;1.0;
13619;1;1;1.0;1.0;14216.06;1.0;4.0;61.52000045776367;75+       ;75+       ;55;0;1.0;
13620;1;1;1.0;1.0;9639.8006;2.0;1.0;100.0;75+       ;75+       ;68;3;1.0;
13621;1;1;1.0;1.0;3639.38;1.0;5.0;48.97999954223633;75+       ;75+       ;8;2;1.0;
13622;1;1;1.0;1.0;1585.92;1.0;3.0;65.19000244140625;75+       ;75+       ;2;4;1.0;
13623;1;1;1.0;1.0;5390.76;1.0;2.0;81.54000091552734;75+       ;75+       ;7;0;1.0;
13624;1;1;1.0;1.0;3580.73;1.0;4.0;56.540000915527344;90-95     ;75+       ;5;0;1.0;
13625;1;1;1.0;1.0;1963.38;1.0;1.0;100.0;75+       ;75+       ;19;0;1.0;
13626;1;1;1.0;1.0;2163.73;1.0;2.0;86.25;75+       ;75+       ;17;2;1.0;
13627;1;1;1.0;1.0;274.812;2.0;4.0;59.5099983215332;75+       ;75+       ;2;0;1.0;
13628;1;1;1.0;1.0;1928.04;1.0;4.0;62.41999816894531;75+       ;75+       ;8;2;1.0;
13629;1;1;1.0;1.0;5049.13;1.0;4.0;62.709999084472656;75+       ;75+       ;8;2;1.0;
13630;1;1;1.0;1.0;8987.74;2.0;2.0;92.41000366210938;90-95     ;75+       ;27;1;1.0;
13631;1;1;1.0;1.0;2165.85;1.0;1.0;100.0;75+       ;75+       ;33;1;1.0;
13632;1;1;1.0;1.0;26272.3;2.0;1.0;100.0;75+       ;75+       ;30;0;1.0;
13633;1;1;1.0;1.0;8943.96;1.0;2.0;85.44999694824219;75+       ;75+       ;7;0;1.0;
13634;1;1;1.0;1.0;5106.49;1.0;2.0;88.0199966430664;75+       ;75+       ;1;0;1.0;
13635;1;1;1.0;1.0;6399.9;1.0;3.0;72.05000305175781;75+       ;75+       ;11;2;1.0;
13636;1;1;1.0;1.0;3556.85;1.0;1.0;100.0;75+       ;75+       ;20;2;1.0;
13637;1;1;1.0;1.0;3936.47;2.0;3.0;75.5199966430664;75+       ;75+       ;38;4;1.0;
13638;1;1;1.0;1.0;1763.3;1.0;5.0;48.61000061035156;75+       ;75+       ;2;0;1.0;
13639;1;1;1.0;1.0;4465.65;2.0;3.0;75.69999694824219;90-95     ;75+       ;23;2;1.0;
13640;1;1;1.0;1.0;7879.61;2.0;5.0;48.310001373291016;75+       ;75+       ;18;2;1.0;
13641;1;1;1.0;1.0;6350.57;2.0;4.0;50.33000183105469;75+       ;75+       ;27;2;1.0;
13642;1;1;1.0;1.0;1339.32;2.0;2.0;96.75;75+       ;75+       ;9;2;1.0;
13643;1;1;1.0;1.0;1127.8;2.0;4.0;50.459999084472656;75+       ;75+       ;3;0;1.0;
13644;1;1;1.0;1.0;3289.22;1.0;4.0;59.720001220703125;75+       ;75+       ;18;2;1.0;
13645;1;1;1.0;1.0;1270.48;1.0;4.0;56.25;75+       ;75+       ;1;0;1.0;
13646;1;1;1.0;1.0;9380.52;2.0;4.0;49.880001068115234;90-95     ;75+       ;47;0;1.0;
13647;1;1;1.0;1.0;1236.97;2.0;2.0;94.16000366210938;90-95     ;75+       ;12;1;1.0;
13648;1;1;1.0;1.0;5720.16;2.0;5.0;48.970001220703125;75+       ;75+       ;5;0;1.0;
13649;1;1;1.0;1.0;2548.92;2.0;3.0;63.7400016784668;75+       ;75+       ;10;2;1.0;
13650;1;1;1.0;1.0;6619.08;1.0;4.0;61.65999984741211;75+       ;75+       ;14;0;1.0;
13651;1;1;1.0;1.0;984.47;2.0;3.0;63.650001525878906;75+       ;75+       ;20;6;1.0;
13652;1;1;1.0;1.0;21297.8;1.0;4.0;50.25;90-95     ;75+       ;25;0;1.0;
13653;1;1;1.0;1.0;4017.54;1.0;4.0;57.689998626708984;75+       ;75+       ;21;2;1.0;
13654;1;1;1.0;1.0;3704.65;2.0;4.0;51.959999084472656;75+       ;75+       ;6;1;1.0;
13655;1;1;1.0;1.0;8913.13;1.0;1.0;100.0;90-95     ;75+       ;90;2;1.0;
13656;1;1;1.0;1.0;5565.73;1.0;3.0;76.91000366210938;75+       ;75+       ;8;2;1.0;
13657;1;1;1.0;1.0;2597.48;1.0;3.0;73.16000366210938;75+       ;75+       ;32;0;1.0;
13658;1;1;1.0;1.0;7835.42;2.0;4.0;51.310001373291016;75+       ;75+       ;4;0;1.0;
13659;1;1;1.0;1.0;60156.47;1.0;2.0;88.94999694824219;90-95     ;75+       ;43;3;1.0;
13660;1;1;1.0;1.0;2887.05;1.0;4.0;59.900001525878906;75+       ;75+       ;2;1;1.0;
13661;1;1;1.0;1.0;565.67;1.0;4.0;58.25;75+       ;75+       ;10;1;1.0;
13662;1;1;1.0;1.0;930.34;2.0;1.0;100.0;75+       ;75+       ;14;0;1.0;
13663;1;1;1.0;1.0;604.24;1.0;4.0;56.439998626708984;75+       ;75+       ;4;1;1.0;
13664;1;1;1.0;1.0;5179.34;2.0;2.0;88.08000183105469;90-95     ;75+       ;5;0;1.0;
13665;1;1;1.0;1.0;7594.74;2.0;4.0;62.63999938964844;75+       ;75+       ;10;0;1.0;
13666;1;1;1.0;1.0;802.08;1.0;4.0;51.369998931884766;75+       ;75+       ;14;0;1.0;
13667;1;1;1.0;1.0;10515.22;2.0;4.0;53.09000015258789;75+       ;75+       ;22;9;1.0;
13668;1;1;1.0;1.0;1854.38;1.0;3.0;67.33000183105469;75+       ;75+       ;4;1;1.0;
13669;1;1;1.0;1.0;5732.37;2.0;1.0;100.0;75+       ;75+       ;11;0;1.0;
13670;1;1;1.0;1.0;9337.8;1.0;2.0;88.06999969482422;75+       ;75+       ;32;1;1.0;
13671;1;1;1.0;1.0;9460.73;1.0;2.0;92.4000015258789;75+       ;75+       ;32;2;1.0;
13672;1;1;1.0;1.0;1882.4;2.0;3.0;78.3499984741211;75+       ;75+       ;5;0;1.0;
13673;1;1;1.0;1.0;14356.42;1.0;3.0;71.12999725341797;75+       ;75+       ;12;0;1.0;
13674;1;1;1.0;1.0;1339.39;1.0;3.0;63.59000015258789;75+       ;75+       ;4;0;1.0;
13675;1;1;1.0;1.0;7816.39;1.0;2.0;83.80999755859375;75+       ;75+       ;26;0;1.0;
13676;1;1;1.0;1.0;2191.51;2.0;3.0;72.0999984741211;75+       ;75+       ;4;1;1.0;
13677;1;1;1.0;1.0;3178.39;1.0;4.0;54.83000183105469;75+       ;75+       ;2;1;1.0;
13678;1;1;1.0;1.0;393.1;2.0;3.0;67.51000213623047;75+       ;75+       ;11;0;1.0;
13679;1;1;1.0;1.0;1331.23;2.0;5.0;46.790000915527344;75+       ;75+       ;38;7;1.0;
13680;1;1;1.0;1.0;13376.0;2.0;3.0;74.33999633789062;75+       ;75+       ;13;2;1.0;
13681;1;1;1.0;1.0;2403.37;1.0;1.0;100.0;90-95     ;75+       ;9;0;1.0;
13682;1;1;1.0;1.0;9786.7356;2.0;2.0;91.43000030517578;75+       ;75+       ;20;0;1.0;
13683;1;1;1.0;1.0;1618.94;1.0;3.0;66.20999908447266;75+       ;75+       ;26;12;1.0;
13684;1;1;1.0;1.0;1261.15;2.0;3.0;75.95999908447266;75+       ;75+       ;9;1;1.0;
13685;1;1;1.0;1.0;74047.62;1.0;5.0;43.47999954223633;75+       ;75+       ;2;0;1.0;
13686;1;1;1.0;1.0;21841.73;1.0;2.0;99.36000061035156;75+       ;75+       ;18;1;1.0;
13687;1;1;1.0;1.0;5119.69;1.0;3.0;63.9900016784668;75+       ;75+       ;2;2;1.0;
13688;1;1;1.0;1.0;6577.35;2.0;3.0;74.2300033569336;75+       ;75+       ;51;0;1.0;
13689;1;1;1.0;1.0;1398.08;2.0;3.0;67.55000305175781;75+       ;75+       ;8;2;1.0;
13690;1;1;1.0;1.0;6058.9;1.0;2.0;99.54000091552734;75+       ;75+       ;8;1;1.0;
13691;1;1;1.0;1.0;9518.15;1.0;3.0;79.86000061035156;75+       ;75+       ;76;8;1.0;
13692;1;1;1.0;1.0;5308.67;2.0;3.0;69.58999633789062;75+       ;75+       ;15;0;1.0;
13693;1;1;1.0;1.0;2765.45;2.0;2.0;92.94000244140625;75+       ;75+       ;32;5;1.0;
13694;1;1;1.0;1.0;2446.67;1.0;3.0;72.37999725341797;90-95     ;75+       ;6;0;1.0;
13695;1;1;1.0;1.0;13384.6;1.0;2.0;85.37000274658203;75+       ;75+       ;22;3;1.0;
13696;1;1;1.0;1.0;3698.72;1.0;3.0;78.70999908447266;75+       ;75+       ;4;0;1.0;
13697;1;1;1.0;1.0;3363.02;2.0;1.0;100.0;75+       ;75+       ;20;2;1.0;
13698;1;1;1.0;1.0;2373.76;2.0;2.0;94.87999725341797;75+       ;75+       ;25;0;1.0;
13699;1;1;1.0;1.0;4509.29;1.0;3.0;63.91999816894531;75+       ;75+       ;33;5;1.0;
13700;1;1;1.0;1.0;8739.39;1.0;5.0;45.380001068115234;75+       ;75+       ;27;1;1.0;
13701;1;1;1.0;1.0;8495.41;1.0;3.0;73.70999908447266;75+       ;75+       ;8;1;1.0;
13702;1;1;1.0;1.0;1256.06;1.0;3.0;70.0999984741211;75+       ;75+       ;8;2;1.0;
13703;1;1;1.0;1.0;1051.61;2.0;4.0;56.810001373291016;90-95     ;75+       ;18;0;1.0;
13704;1;1;1.0;1.0;8314.03;2.0;4.0;50.79999923706055;75+       ;75+       ;29;3;1.0;
13705;1;1;1.0;1.0;694.04;2.0;3.0;66.45999908447266;75+       ;75+       ;1;0;1.0;
13706;1;1;1.0;1.0;7693.07;2.0;4.0;62.15999984741211;75+       ;75+       ;6;0;1.0;
